epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step,valBinaryAccuracy_epoch,valBinaryAccuracy_step,val_loss_epoch,val_loss_step
0,49,,,,,,0.44999998807907104,,0.6929553747177124,,,,
0,99,,,,,,0.44999998807907104,,0.6836289167404175,,,,
0,149,,,,,,1.0,,0.6731114387512207,,,,
0,199,,,,,,1.0,,0.6622946858406067,,,,
0,249,,,,,,1.0,,0.6517970561981201,,,,
0,299,,,,,,1.0,,0.6348148584365845,,,,
0,349,,,,,,1.0,,0.6261187791824341,,,,
,0,,,,,,,,,,1.0,,0.6233026385307312
,1,,,,,,,,,,1.0,,0.6213085055351257
,2,,,,,,,,,,1.0,,0.6310503482818604
,3,,,,,,,,,,1.0,,0.6254163384437561
,4,,,,,,,,,,1.0,,0.6303601264953613
,5,,,,,,,,,,1.0,,0.6196291446685791
,6,,,,,,,,,,1.0,,0.6266615986824036
,7,,,,,,,,,,1.0,,0.6225622296333313
,8,,,,,,,,,,1.0,,0.627952516078949
,9,,,,,,,,,,1.0,,0.6294465065002441
,10,,,,,,,,,,1.0,,0.6227064728736877
,11,,,,,,,,,,1.0,,0.6265222430229187
,12,,,,,,,,,,1.0,,0.6203822493553162
,13,,,,,,,,,,1.0,,0.6309177279472351
,14,,,,,,,,,,1.0,,0.6258466243743896
,15,,,,,,,,,,1.0,,0.6322435140609741
,16,,,,,,,,,,1.0,,0.6279745697975159
,17,,,,,,,,,,1.0,,0.6376463174819946
,18,,,,,,,,,,1.0,,0.6232898831367493
,19,,,,,,,,,,1.0,,0.6245682239532471
0,349,,,,,,,,,1.0,,0.6264894008636475,
0,349,,,,,0.8050000071525574,,0.6643943786621094,,,,,
1,399,,,,,,1.0,,0.6225525140762329,,,,
1,449,,,,,,1.0,,0.6170843243598938,,,,
1,499,,,,,,1.0,,0.5724033117294312,,,,
1,549,,,,,,1.0,,0.5647262334823608,,,,
1,599,,,,,,1.0,,0.5343455672264099,,,,
1,649,,,,,,1.0,,0.5237300395965576,,,,
1,699,,,,,,1.0,,0.5247306227684021,,,,
,20,,,,,,,,,,1.0,,0.5077738761901855
,21,,,,,,,,,,1.0,,0.5061171650886536
,22,,,,,,,,,,1.0,,0.523353099822998
,23,,,,,,,,,,1.0,,0.5121666789054871
,24,,,,,,,,,,1.0,,0.5237690210342407
,25,,,,,,,,,,1.0,,0.5000361204147339
,26,,,,,,,,,,1.0,,0.513659656047821
,27,,,,,,,,,,1.0,,0.5076662302017212
,28,,,,,,,,,,1.0,,0.5172393918037415
,29,,,,,,,,,,1.0,,0.5212637186050415
,30,,,,,,,,,,1.0,,0.5062409043312073
,31,,,,,,,,,,1.0,,0.5146903395652771
,32,,,,,,,,,,1.0,,0.5037266612052917
,33,,,,,,,,,,1.0,,0.5222293138504028
,34,,,,,,,,,,1.0,,0.5131449103355408
,35,,,,,,,,,,1.0,,0.5246301293373108
,36,,,,,,,,,,1.0,,0.5173301100730896
,37,,,,,,,,,,1.0,,0.5353019833564758
,38,,,,,,,,,,1.0,,0.5102236270904541
,39,,,,,,,,,,1.0,,0.5092432498931885
1,699,,,,,,,,,1.0,,0.5144903659820557,
1,699,,,,,1.0,,0.5698478817939758,,,,,
,0,,1.0,,0.5213595032691956,,,,,,,,
,1,,1.0,,0.5212013721466064,,,,,,,,
,2,,1.0,,0.5041442513465881,,,,,,,,
,3,,1.0,,0.5115094184875488,,,,,,,,
,4,,1.0,,0.5159389972686768,,,,,,,,
,5,,1.0,,0.5057108402252197,,,,,,,,
,6,,1.0,,0.514202892780304,,,,,,,,
,7,,1.0,,0.512492299079895,,,,,,,,
,8,,1.0,,0.5259590744972229,,,,,,,,
,9,,1.0,,0.519496738910675,,,,,,,,
,10,,1.0,,0.5031514763832092,,,,,,,,
,11,,1.0,,0.5023906826972961,,,,,,,,
,12,,1.0,,0.5084620714187622,,,,,,,,
,13,,1.0,,0.5066221356391907,,,,,,,,
,14,,1.0,,0.5044143199920654,,,,,,,,
,15,,1.0,,0.5186626315116882,,,,,,,,
,16,,1.0,,0.514365017414093,,,,,,,,
,17,,1.0,,0.5094419121742249,,,,,,,,
,18,,1.0,,0.5211430191993713,,,,,,,,
,19,,1.0,,0.5157328248023987,,,,,,,,
,20,,1.0,,0.5083459615707397,,,,,,,,
,21,,1.0,,0.5088186860084534,,,,,,,,
,22,,1.0,,0.49453499913215637,,,,,,,,
,23,,1.0,,0.5114683508872986,,,,,,,,
,24,,1.0,,0.49602508544921875,,,,,,,,
,25,,1.0,,0.5386499762535095,,,,,,,,
,26,,1.0,,0.4915603697299957,,,,,,,,
,27,,1.0,,0.5100018382072449,,,,,,,,
,28,,1.0,,0.515073299407959,,,,,,,,
,29,,1.0,,0.515533983707428,,,,,,,,
,30,,1.0,,0.49059176445007324,,,,,,,,
,31,,1.0,,0.5111923217773438,,,,,,,,
,32,,1.0,,0.5021249651908875,,,,,,,,
,33,,1.0,,0.48563480377197266,,,,,,,,
,34,,1.0,,0.5319666266441345,,,,,,,,
,35,,1.0,,0.5179034471511841,,,,,,,,
,36,,1.0,,0.5110980868339539,,,,,,,,
,37,,1.0,,0.5202591419219971,,,,,,,,
,38,,1.0,,0.5287782549858093,,,,,,,,
,39,,1.0,,0.5209501385688782,,,,,,,,
2,700,1.0,,0.5116727948188782,,,,,,,,,
